,company_name,rating,description,highly rated for,critically rated for
52,Cipla,4.1,Pharma | 10k-50k Employees | Public | 89 years old | Mumbai +235 more,"Skill Development / Learning, Salary & Benefits, Work Life Balance",--
53,Sutherland Global Services,3.7,IT Services & Consulting | 10k-50k Employees | 38 years old | Pittsford +55 more,--,"Promotions / Appraisal, Salary & Benefits"
54,Dr. Reddy's,4.2,Pharma | 10k-50k Employees | Public | 40 years old | Hyderabad/Secunderabad +163 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
55,Bandhan Bank,3.8,Banking | 50k-1 Lakh Employees | Public | 23 years old | Kolkata +758 more,Job Security,Promotions / Appraisal
56,Paytm,3.5,FinTech | 10k-50k Employees | Public | 14 years old | Noida +313 more,--,"Job Security, Promotions / Appraisal, Company Culture"
57,UltraTech Cement,4.2,Building Material | 10k-50k Employees | Public | 41 years old | Mumbai +432 more,"Job Security, Skill Development / Learning, Company Culture",--
58,EXL Service,3.8,Analytics & KPO | 10k-50k Employees | 25 years old | New York City +45 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
59,NTT DATA,4.0,IT Services & Consulting | 10k-50k Employees | 36 years old | Chiyoda City +58 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
60,ICICI Prudential Life Insurance,4.1,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +449 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
61,Bajaj Finance,4.1,NBFC | 10k-50k Employees | 37 years old | Pune +770 more,"Salary & Benefits, Skill Development / Learning, Job Security",--
62,Jana Small Finance Bank,3.9,Banking | 10k-50k Employees | Public | 18 years old | Bangalore/Bengaluru +349 more,--,--
63,Lupin,4.1,Pharma | 1k-5k Employees | Public | 56 years old | Mumbai +165 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
64,Indian Army,4.7,Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +325 more,"Job Security, Company Culture, Work Satisfaction",--
