,company_name,rating,description,highly rated for,critically rated for
348,SRF,4.3,Chemicals | 5k-10k Employees | Public | 54 years old | Gurgaon / Gurugram +45 more,"Job Security, Salary & Benefits, Skill Development / Learning",--
349,Myntra,4.0,Internet | 1k-5k Employees | 17 years old | Bangalore / Bengaluru +97 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
350,V-Mart,4.3,Retail | 5k-10k Employees | Public | 22 years old | Gurgaon / Gurugram +241 more,"Skill Development / Learning, Job Security, Company Culture",--
351,Ninjacart,4.1,Internet | 1k-5k Employees | Startup | 9 years old | Bangalore / Bengaluru +94 more,"Salary & Benefits, Skill Development / Learning, Company Culture",--
352,Emcure Pharmaceuticals,3.8,Pharma | 5k-10k Employees | Fortune India 500 | 43 years old | Pune +97 more,--,"Job Security, Promotions / Appraisal"
353,Parle Agro,4.2,Beverage | 5k-10k Employees | 40 years old | Mumbai +189 more,"Job Security, Work Life Balance, Skill Development / Learning",--
354,Datamatics Global Services,3.6,IT Services & Consulting | 5k-10k Employees | Public | 49 years old | Mumbai +27 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
355,Kalpataru Power Transmission,4.2,Engineering & Construction | 1k-5k Employees | Public | 43 years old | Noida +211 more,"Job Security, Skill Development / Learning, Company Culture",--
356,Movate,3.5,IT Services & Consulting | 1k-5k Employees | 28 years old | Chennai +29 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
357,Kansai Nerolac Paints,3.9,Chemicals | 1k-5k Employees | Public | 104 years old | Mumbai +179 more,Job Security,Promotions / Appraisal
358,Renault-Nissan,4.1,Automobile | 10k-50k Employees | 17 years old | Chennai +79 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
359,Pfizer,4.1,Pharma | 1k-5k Employees | Public | 20 years old | Mumbai +111 more,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
360,Tata Teleservices,4.1,Telecom | 201-500 Employees | Public | 28 years old | Mumbai +147 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
361,Fujitsu,3.9,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 89 years old | Bangalore/Bengaluru +26 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
362,Mahindra Holidays & Resorts,3.6,Hospitality | 5k-10k Employees | 28 years old | Mumbai +95 more,--,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
363,VVDN Technologies,3.7,IT Services & Consulting | 5k-10k Employees | 17 years old | Gurgaon +32 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
364,Indian Railways,4.1,Railways | 1 Lakh+ Employees | Central | 171 years old | Delhi/NCR +212 more,"Job Security, Skill Development / Learning, Work Satisfaction",--
365,BHEL,4.1,Electrical Equipment | 10k-50k Employees | Fortune India 500 | 60 years old | Bangalore/Bengaluru +100 more,"Job Security, Work Life Balance, Company Culture",--
366,KPMG Global Services,3.7,Bangalore / Bengaluru +31 more,Job Security,"Promotions / Appraisal, Work Satisfaction"
367,Raymond,4.1,Fashion & Textile | 5k-10k Employees | Public | 99 years old | New York +128 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
368,MSN Laboratories,3.8,Pharma | 10k-50k Employees | 21 years old | Hyderabad/Secunderabad +69 more,Job Security,Company Culture
369,Reliance Trends,4.3,Retail | 1 Lakh+ Employees | Conglomerate | 18 years old | Navi Mumbai +337 more,"Skill Development / Learning, Job Security, Company Culture",--
370,3i Infotech,3.6,IT Services & Consulting | 1k-5k Employees | Public | 31 years old | Mumbai +109 more,--,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
371,ICICI Securities,3.8,Financial Services | 1k-5k Employees | Public | 29 years old | Mumbai +123 more,Job Security,"Promotions / Appraisal, Work Satisfaction"
372,Blinkit,3.9,Internet | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +61 more,Skill Development / Learning,"Job Security, Promotions / Appraisal"
373,Cybage,3.9,IT Services & Consulting | 5k-10k Employees | 29 years old | Pune +9 more,"Job Security, Company Culture, Work Life Balance",--
374,JCB,4.0,Industrial Machinery | 1k-5k Employees | 79 years old | Rocester +90 more,"Work Life Balance, Company Culture",Promotions / Appraisal
375,Ambuja Cements,3.9,Building Material | 5k-10k Employees | Public | 41 years old | Mumbai +195 more,--,Promotions / Appraisal
376,Cadila Pharmaceuticals,3.5,Pharma | 5k-10k Employees | Public | 73 years old | Ahmedabad +114 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
377,Info Edge,4.1,Internet | 5k-10k Employees | Public | 29 years old | Noida +55 more,"Job Security, Company Culture, Work Life Balance",--
378,Shell,4.3,Oil & Gas | 10k-50k Employees | Public | 117 years old | London +74 more,"Work Life Balance, Company Culture, Salary & Benefits",--
379,suzuki motor gujarat,4.3,Fortune India 500 | Becharaji +86 more,"Job Security, Company Culture, Salary & Benefits",--
380,GlaxoSmithKline Pharmaceuticals,4.1,Pharma | 1k-5k Employees | Fortune India 500 | 194 years old | Brentford +180 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
381,Poonawalla Fincorp,3.9,NBFC | 1k-5k Employees | Public | 36 years old | Mumbai +249 more,--,Promotions / Appraisal
382,ZS,3.5,Management Consulting | 5k-10k Employees | 41 years old | Evanston +9 more,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
383,Foundever,3.8,BPO | 5k-10k Employees | Conglomerate | 39 years old | Miami +16 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
384,Whirlpool,4.2,Consumer Electronics & Appliances | 1k-5k Employees | Public | 113 years old | Michigan +139 more,"Work Life Balance, Company Culture, Job Security",--
385,Force Motors,3.6,Automobile | 1k-5k Employees | Public | 66 years old | Pune +86 more,--,"Promotions / Appraisal, Company Culture, Salary & Benefits"
386,Bharat Petroleum,4.2,Oil & Gas | 5k-10k Employees | Fortune India 500 | 72 years old | Mumbai +217 more,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal
387,Endurance Technologies,3.9,Auto Components | 1k-5k Employees | Public | 39 years old | Aurangabad +38 more,Skill Development / Learning,Promotions / Appraisal
388,NoBroker,3.3,Internet | 1k-5k Employees | Indian Unicorn | 10 years old | Bangalore +36 more,--,"Work Satisfaction, Promotions / Appraisal, Work Life Balance"
389,Tata Elxsi,4.0,IT Services & Consulting | 5k-10k Employees | Public | 35 years old | Bangalore/Bengaluru +23 more,"Job Security, Work Life Balance, Company Culture",--
390,Jindal Stainless,4.3,Iron & Steel | 1k-5k Employees | Public | 54 years old | Delhi/NCR +56 more,"Job Security, Skill Development / Learning, Work Life Balance",--
391,PhonePe,4.1,FinTech | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +225 more,"Salary & Benefits, Company Culture, Job Security",--
392,GVK Emergency Management and Research Institute,3.8,Non-Profit | 10k-50k Employees | 19 years old | Hyderabad/Secunderabad +148 more,--,"Promotions / Appraisal, Job Security, Salary & Benefits"
393,Fincare Small Finance Bank,4.1,Banking | 10k-50k Employees | 17 years old | Bangalore +355 more,"Job Security, Skill Development / Learning, Work Life Balance",--
394,ITC Hotels,4.2,Hospitality | 5k-10k Employees | Public | 49 years old | Kolkata +75 more,"Job Security, Skill Development / Learning, Company Culture",--
395,Syngene International,3.9,Pharma | 1k-5k Employees | Public | 31 years old | Bangalore/Bengaluru +14 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
396,Shahi Exports,4.0,Retail | 1 Lakh+ Employees | 50 years old | Faridabad +60 more,"Job Security, Skill Development / Learning, Company Culture",--
397,Kalyan Jewellers,4.7,Jewellery | 5k-10k Employees | Fortune India 500 | 31 years old | Bangalore / Bengaluru +131 more,"Skill Development / Learning, Company Culture, Salary & Benefits",--
398,Bharti AXA Life Insurance,3.9,Insurance | 1k-5k Employees | 18 years old | Mumbai +218 more,Work Life Balance,--
399,Delphi TVS,4.1,Auto Components | 1k-5k Employees | 35 years old | Kanchipuram +35 more,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal
400,Sobha,4.0,Real Estate | 1k-5k Employees | Public | 29 years old | Bangalore/Bengaluru +33 more,"Job Security, Skill Development / Learning",--
401,HCL Infosystems,4.0,IT Services & Consulting | 51-200 Employees | Public | 48 years old | Noida +107 more,"Job Security, Work Life Balance, Company Culture",--
402,Brakes India,4.1,Auto Components | 501-1k Employees | Fortune India 500 | 62 years old | Chennai +73 more,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
403,Lodha group,4.1,Real Estate | 5k-10k Employees | Fortune India 500 | 44 years old | Mumbai +24 more,"Skill Development / Learning, Salary & Benefits, Company Culture",--
404,Care Health Insurance,3.8,Internet | 5k-10k Employees | Public | 12 years old | Gurgaon +194 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
405,Dhani Loans and Services,3.9,NBFC | 1k-5k Employees | New Delhi +177 more,--,"Job Security, Promotions / Appraisal"
406,Sterling & Wilson,4.1,Engineering & Construction | 501-1k Employees | 97 years old | Mumbai +100 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
407,Citicorp,3.8,Financial Services | 1k-5k Employees | 27 years old | Mumbai +23 more,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction"
408,Aavas Financiers,4.0,Financial Services | 5k-10k Employees | Public | 13 years old | Jaipur +232 more,Skill Development / Learning,--
409,Bureau Veritas,4.0,Other | 1k-5k Employees | Forbes Global 2000 | 196 years old | Paris La Défense +111 more,"Work Life Balance, Job Security",Promotions / Appraisal
410,CAMS,3.7,IT Services & Consulting | 5k-10k Employees | 36 years old | Chennai +95 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
411,KENT RO Systems,4.1,Consumer Electronics & Appliances | 1k-5k Employees | 25 years old | Noida +138 more,"Work Life Balance, Work Satisfaction, Company Culture",--
412,Gallagher,3.9,Insurance | 10k-50k Employees | Forbes Global 2000 | 97 years old | Rolling Meadows +16 more,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
413,Sopra Steria,4.0,IT Services & Consulting | 5k-10k Employees | Conglomerate | 56 years old | Paris +14 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
414,Unacademy,3.3,EdTech | 1k-5k Employees | Indian Unicorn | 9 years old | Bangalore +55 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
415,Varroc Group,3.8,Auto Components | 1k-5k Employees | Public | 36 years old | Aurangabad +34 more,--,"Promotions / Appraisal, Salary & Benefits"
416,Canara HSBC Life Insurance,3.8,Insurance | 5k-10k Employees | 16 years old | Gurgaon/Gurugram +245 more,--,--
417,Coromandel International,4.1,Agro Chemicals | 5k-10k Employees | Public | 63 years old | Hyderabad/Secunderabad +144 more,"Job Security, Company Culture, Skill Development / Learning",--
418,Future Generali India Life Insurance,3.8,Insurance | 1k-5k Employees | 17 years old | Mumbai +169 more,--,Promotions / Appraisal
419,Allsec Technologies,4.1,BPO | 1k-5k Employees | Public | 24 years old | Chennai +26 more,"Job Security, Work Life Balance, Company Culture",--
420,Tata Motors Finance,4.1,NBFC | 1k-5k Employees | Conglomerate | 67 years old | Mumbai +224 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
421,Cisco,4.4,Hardware & Networking | 10k-50k Employees | Public | 40 years old | San Jose +35 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
422,Power Mech Projects,3.9,Engineering & Construction | 1k-5k Employees | Public | 17 years old | Hyderabad/Secunderabad +117 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
423,café Coffee day,4.0,Hospitality | 1k-5k Employees | 28 years old | Bengaluru +91 more,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
424,Gabriel India,4.2,Auto Components | 1k-5k Employees | Public | 63 years old | Pune +40 more,"Job Security, Skill Development / Learning, Company Culture",--
425,RMSI,3.8,IT Services & Consulting | 1k-5k Employees | 32 years old | Noida +12 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
426,Star Health & Allied Insurance,3.9,Insurance | 10k-50k Employees | Fortune India 500 | 18 years old | Chennai +246 more,--,Promotions / Appraisal
427,Adani Wilmar,4.2,FMCG | 1k-5k Employees | Public | 25 years old | Ahmedabad +152 more,"Job Security, Skill Development / Learning, Work Life Balance",--
428,JK Tyres,3.8,Auto Components | 1k-5k Employees | Fortune India 500 | 73 years old | New Delhi +129 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
429,IntouchCX,3.0,BPO | 5k-10k Employees | 23 years old | Winnipeg +17 more,--,"Promotions / Appraisal, Job Security, Salary & Benefits"
430,DBS Bank,3.9,Banking | 5k-10k Employees | 9 years old | Hyderabad/Secunderabad +137 more,"Salary & Benefits, Job Security",Promotions / Appraisal
431,KIA MOTORS,3.9,Automobile | 1k-5k Employees | Forbes Global 2000 | 80 years old | Seoul +134 more,--,"Promotions / Appraisal, Salary & Benefits"
432,Straive,3.5,Analytics & KPO | 10k-50k Employees | 44 years old | Singapore +22 more,--,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
433,Lucas-TVS,4.0,Auto Components | 5k-10k Employees | 63 years old | Chennai +59 more,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
434,Bank of Baroda,3.6,Banking | 50k-1 Lakh Employees | Fortune India 500 | 116 years old | Vadodara/Baroda +241 more,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture"
435,Sify Technologies,4.0,IT Services & Consulting | 1k-5k Employees | 29 years old | Chennai +106 more,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
436,Planet Spark,3.8,EdTech | 51-200 Employees | Startup | 7 years old | Gurgaon +41 more,Skill Development / Learning,--
437,Laurus Labs,4.2,Pharma | 5k-10k Employees | Public | 19 years old | Hyderabad/Secunderabad +14 more,"Job Security, Company Culture, Work Life Balance",--
438,ValueLabs,3.9,IT Services & Consulting | 5k-10k Employees | 27 years old | Hyderabad/Secunderabad +15 more,"Salary & Benefits, Work Life Balance",--
439,Hero FinCorp,4.2,NBFC | 1k-5k Employees | 33 years old | Delhi +319 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
440,Hindustan Aeronautics,4.4,Defence & Aerospace | 10k-50k Employees | Fortune India 500 | 84 years old | Bangalore/Bengaluru +46 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",--
441,Indian Navy,4.6,Defence & Aerospace | 50k-1 Lakh Employees | Central | 74 years old | Delhi/NCR +57 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
442,ABC,3.9,Broadcasting | 1k-5k Employees (Global) | Public | 81 years old | New York +101 more,"Salary & Benefits, Work Life Balance, Company Culture",--
443,upGrad,3.9,EdTech | 5k-10k Employees | Indian Unicorn | 9 years old | San Francisco +38 more,"Salary & Benefits, Skill Development / Learning, Company Culture",--
444,Parle Products,4.0,Food Processing | 1k-5k Employees | 95 years old | Mumbai +189 more,Salary & Benefits,Company Culture
445,Thomson Reuters,4.2,Legal | 5k-10k Employees | Forbes Global 2000 | 16 years old | Toronto +24 more,"Work Life Balance, Company Culture, Job Security",--
446,Adani Power,4.0,Power | 1k-5k Employees | Public | 18 years old | Ahmedabad +79 more,"Skill Development / Learning, Job Security",--
447,Taurus BPO Services,4.6,BPO | 1k-5k Employees | 9 years old | Pune +14 more,"Skill Development / Learning, Company Culture, Job Security",--
448,ESAF Microfinance & Investments (P),3.9,Financial Services | 1k-5k Employees | 8 years old | Thrissur/Trichur +282 more,Job Security,--
449,Akums Drugs & Pharmaceuticals,4.1,Pharma | 10k-50k Employees | Public | 20 years old | Delhi/NCR +28 more,"Job Security, Skill Development / Learning, Company Culture",--
450,Uflex,3.8,Packaging | 5k-10k Employees | Public | 39 years old | Noida +41 more,Job Security,"Promotions / Appraisal, Company Culture"
451,SAP,4.3,Software Product | 10k-50k Employees | Forbes Global 2000 | 52 years old | Walldorf +42 more,"Work Life Balance, Company Culture, Job Security",--
452,AECOM,4.3,Engineering & Construction | 1k-5k Employees | 34 years old | Dallas +106 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
453,Intellect Design Arena,4.1,FinTech | 5k-10k Employees | Public | 13 years old | Chennai +27 more,"Job Security, Company Culture, Salary & Benefits",--
454,Cargill,4.2,Food Processing | 1k-5k Employees | Conglomerate | 159 years old | Wayzata +89 more,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
455,TVS Sundram Fasteners,3.8,Auto Components | 1k-5k Employees | Public | 62 years old | Chennai +41 more,--,"Promotions / Appraisal, Salary & Benefits"
456,CMA CGM,4.1,Ports & Shipping | 501-1k Employees | 46 years old | Marseille +30 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
457,SGS,4.0,1k-5k Employees | Forbes Global 2000 | 146 years old | Geneva +111 more,Work Life Balance,Promotions / Appraisal
458,Citibank,4.0,Banking | 10k-50k Employees (Global) | Fortune India 500 | 212 years old | New York +46 more,"Salary & Benefits, Job Security, Company Culture",--
459,Google,4.4,Internet | 10k-50k Employees | 29 years old | Mountain View +77 more,"Company Culture, Salary & Benefits, Work Life Balance",--
460,IDBI Bank,3.8,Banking | 10k-50k Employees | Public | 60 years old | Mumbai +282 more,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
461,Microsoft Corporation,4.1,Software Product | 10k-50k Employees | Forbes Global 2000 | 49 years old | Sunnyvale +43 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
462,Dr Lal PathLabs,4.2,Healthcare | 1k-5k Employees | Public | 75 years old | Gurgaon/Gurugram +152 more,"Skill Development / Learning, Company Culture, Job Security",--
463,Honda,4.2,Automobile | 10k-50k Employees | Forbes Global 2000 | 39 years old | Greater Noida +197 more,"Job Security, Skill Development / Learning, Company Culture",--
464,Novartis,4.1,Pharma | 1k-5k Employees | 28 years old | Switzerland +64 more,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
465,Reliance General Insurance,3.9,Insurance | 5k-10k Employees | 24 years old | Mumbai +168 more,--,Promotions / Appraisal
466,Renault Nissan Technology & Business Centre India,3.9,IT Services & Consulting | 5k-10k Employees | 17 years old | Chennai +13 more,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
467,TCE,3.8,Engineering & Construction | 5k-10k Employees | 62 years old | Mumbai +98 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
468,L&T Energy Hydrocarbon,3.9,Engineering & Construction | 5k-10k Employees | 15 years old | Mumbai +68 more,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance, Salary & Benefits"
469,Optum Global Solutions,4.1,IT Services & Consulting | 10k-50k Employees | 22 years old | Gurgaon / Gurugram +12 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
470,Kotak Securities,3.7,Financial Services | 5k-10k Employees | Conglomerate | 30 years old | Mumbai +117 more,--,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
471,Narayana Health,4.2,Healthcare | 10k-50k Employees | Fortune India 500 | 24 years old | Bangalore/Bengaluru +58 more,"Job Security, Skill Development / Learning, Company Culture",--
472,Big Bazaar,4.2,Retail | 10k-50k Employees | Conglomerate | 23 years old | Mumbai +157 more,"Skill Development / Learning, Company Culture, Work Satisfaction",--
473,Meesho,3.7,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bengaluru/Bangalore +94 more,Salary & Benefits,"Job Security, Promotions / Appraisal"
474,AXA Business Services,3.8,Insurance | 501-1k Employees | 78 years old | Paris +8 more,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
475,Xoriant,3.9,IT Services & Consulting | 1k-5k Employees | 34 years old | Sunnyvale +19 more,"Work Life Balance, Company Culture, Salary & Benefits",--
476,Honeywell Automation,3.8,Consumer Electronics & Appliances | 10k-50k Employees | Public | 118 years old | Morris Plains +62 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
477,Spark Minda,3.9,Auto Components | 1k-5k Employees | Public | 66 years old | Gurgaon +60 more,--,Promotions / Appraisal
478,BA Continuum,4.3,NBFC | 1k-5k Employees | 21 years old | Gurgaon/Gurugram +15 more,"Job Security, Work Life Balance, Company Culture",--
479,YASH Technologies,3.8,IT Services & Consulting | 5k-10k Employees | 28 years old | East Moline +19 more,"Work Life Balance, Company Culture",Promotions / Appraisal
480,SBI General Insurance,3.9,Insurance | 5k-10k Employees | 15 years old | Mumbai +206 more,Job Security,Promotions / Appraisal
481,Wockhardt,3.9,Pharma | 5k-10k Employees | Public | 25 years old | Mumbai +77 more,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
482,Vedantu,3.4,EdTech | 1k-5k Employees | Indian Unicorn | 13 years old | Bangalore +51 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
483,CMS Infosystems,3.7,IT Services & Consulting | 5k-10k Employees | 16 years old | Mumbai +165 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
484,MetLife,4.3,Insurance | 1k-5k Employees | Forbes Global 2000 | 16 years old | New York +37 more,"Job Security, Work Life Balance, Company Culture",--
485,Philips,3.9,Consumer Electronics & Appliances | 5k-10k Employees | Forbes Global 2000 | 94 years old | Amsterdam +85 more,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
486,Tata Play,4.1,Broadcasting | 5k-10k Employees | Public | 18 years old | Mumbai +190 more,"Job Security, Company Culture, Skill Development / Learning",--
487,Apollo Pharmacy,3.9,Pharma | 10k-50k Employees | 41 years old | Chennai +199 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
488,Vardhman Fabrics,4.1,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 59 years old | Ludhiana +55 more,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
489,Aragen Life Sciences,4.1,Pharma | 1k-5k Employees | 24 years old | Hyderabad/Secunderabad +18 more,"Skill Development / Learning, Job Security, Company Culture",--
490,NCR Corporation,4.1,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 140 years old | Atlanta +80 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
491,Niva Bupa Health Insurance Company,3.7,Insurance | 5k-10k Employees | 16 years old | Delhi/NCR +183 more,--,Promotions / Appraisal
492,G R Infraprojects,4.2,Engineering & Construction | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +131 more,"Skill Development / Learning, Salary & Benefits, Company Culture",--
493,Biological E,4.2,Biotechnology | 1k-5k Employees | 71 years old | Hyderabad/Secunderabad +46 more,"Job Security, Company Culture, Work Life Balance",--
494,Frankfinn Institute of Air Hostess Training,4.0,Education & Training | 1k-5k Employees | 31 years old | Gurgaon/Gurugram +57 more,"Skill Development / Learning, Salary & Benefits, Company Culture",--
495,Safexpress,4.2,Logistics | 1k-5k Employees | Conglomerate | 27 years old | Delhi/NCR +142 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
496,Crisil,3.8,Financial Services | 1k-5k Employees | Public | 37 years old | Mumbai +54 more,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
497,Innovsource Services,4.0,Recruitment | 1k-5k Employees | 20 years old | Mumbai +194 more,--,Promotions / Appraisal
498,Microland,3.6,IT Services & Consulting | 1k-5k Employees | Public | 35 years old | Pune +41 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
499,Exl India,3.6,IT Services & Consulting | 11-50 Employees | 67 years old | Pune +26 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
500,Allstate,4.0,Insurance | 5k-10k Employees | Forbes Global 2000 | 12 years old | Bangalore/Bengaluru +9 more,"Work Life Balance, Company Culture, Job Security",--
501,Amazon Transportation Services,4.2,Logistics | 1k-5k Employees | 12 years old | Seattle +131 more,"Salary & Benefits, Company Culture, Skill Development / Learning",--
502,PHN Technology,4.6,Pune +30 more,"Skill Development / Learning, Work Satisfaction, Company Culture",--
503,Panasonic Life Solutions,4.1,Electrical Equipment | 10k-50k Employees | 61 years old | Mumbai +109 more,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
504,Metro Cash & Carry,4.2,Retail | 1k-5k Employees | Forbes Global 2000 | 60 years old | Bangalore/Bengaluru +76 more,"Job Security, Skill Development / Learning, Company Culture",--
505,R.R. Donnelley,4.1,Marketing & Advertising | 5k-10k Employees | 160 years old | Chicago +12 more,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
506,SBI Securities,3.9,Financial Services | 5k-10k Employees | 18 years old | Mumbai +215 more,--,Promotions / Appraisal
507,Angel One,3.9,Financial Services | 1k-5k Employees | Mumbai +113 more,"Company Culture, Work Life Balance",Promotions / Appraisal
508,SS&C TECHNOLOGIES,3.6,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 38 years old | Windsor Locks +25 more,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
509,Reckitt Benckiser,4.0,FMCG | 1k-5k Employees | Conglomerate | 25 years old | Slough +115 more,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
510,Bhushan Power & Steel,4.0,Iron & Steel | 5k-10k Employees | 54 years old | Delhi/NCR +52 more,Skill Development / Learning,Promotions / Appraisal
511,Bharat Financial Inclusion,4.1,NBFC | 10k-50k Employees | Public | 26 years old | Hyderabad +313 more,"Salary & Benefits, Job Security, Company Culture",--
512,CitiusTech,3.5,IT Services & Consulting | 1k-5k Employees | Indian Unicorn | 19 years old | New Jersey +14 more,--,"Promotions / Appraisal, Job Security, Work Satisfaction"
513,Matrimony.com,4.4,Internet | 1k-5k Employees | Public | 27 years old | Chennai +49 more,"Company Culture, Job Security, Work Life Balance",--
514,Motherson Automotive Technologies and Engineering,4.0,Auto Components | 501-1k Employees | 27 years old | Noida +55 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
515,USV,4.1,Pharma | 1k-5k Employees | Fortune India 500 | 63 years old | Mumbai +87 more,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
516,Procter & Gamble,4.2,FMCG | 1k-5k Employees | Public | 187 years old | Cincinnati +204 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
517,XL Dynamics,3.2,IT Services & Consulting | 1k-5k Employees | 22 years old | Navi Mumbai +27 more,--,"Job Security, Company Culture, Work Life Balance"
518,Adecco Group,3.8,Recruitment | 1k-5k Employees | Forbes Global 2000 | 25 years old | Zurich +126 more,--,"Promotions / Appraisal, Job Security"
519,Yamaha Motor,4.2,Automobile | 1k-5k Employees | Fortune India 500 | 17 years old | Iwata +126 more,"Work Life Balance, Skill Development / Learning, Work Satisfaction",--
520,Dainik Bhaskar Group,4.4,Printing & Publishing | 5k-10k Employees | Public | 66 years old | Bhopal +129 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
521,Aditya Birla Capital,4.0,Financial Services | 10k-50k Employees | Public | 7 years old | Mumbai +183 more,"Job Security, Work Life Balance, Company Culture",--
522,HERE Technologies,3.8,IT Services & Consulting | 1k-5k Employees | 39 years old | Eindhoven +14 more,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
523,Cavinkare,4.0,FMCG | 1k-5k Employees | Conglomerate | 41 years old | Chennai +149 more,"Work Life Balance, Skill Development / Learning, Company Culture",--
524,USHA International,4.2,Consumer Electronics & Appliances | 1k-5k Employees | Public | 90 years old | Gurgaon/Gurugram +111 more,"Job Security, Skill Development / Learning, Company Culture",--
525,Mercedes-Benz Research & Development India,4.0,IT Services & Consulting | 5k-10k Employees | Public | 28 years old | Bengaluru/Bangalore +49 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
